a2,a1,t,id,fs,n,ts,v,u,r
17999AGL,SFC,,tfr,559744310,1725396720,TFR 4/9433,0,9/3 20:52Z until further notice,http://tfr.faa.gov/save_pages/detail_4_9433.html,Security
60000,SFC,,tfr,559744336,1734188400,TFR 4/5180,1734195600,12/14 15:00Z to 12/14 17:00Z,http://tfr.faa.gov/save_pages/detail_4_5180.html,Space Launch
18000,SFC,,tfr,559744350,1734132000,TFR 4/4512,1734147000,12/13 23:20Z to 12/14 03:30Z,http://tfr.faa.gov/save_pages/detail_4_4512.html,Space Launch
18000,SFC,,tfr,559744357,1734132000,TFR 4/4529,1734147000,12/13 23:20Z to 12/14 03:30Z,http://tfr.faa.gov/save_pages/detail_4_4529.html,Space Launch
30000,SFC,,tfr,559744329,1734216300,TFR 4/4897,1734223500,12/14 22:45Z to 12/15 00:45Z,http://tfr.faa.gov/save_pages/detail_4_4897.html,Space Launch
30000FL,SFC,,tfr,559744314,1734129900,TFR 4/4925,1734137100,12/13 22:45Z to 12/14 00:45Z,http://tfr.faa.gov/save_pages/detail_4_4925.html,Space Launch
18000,SFC,,tfr,559744319,1734382080,TFR 4/4318,1734389760,12/16 20:48Z to 12/16 22:56Z,http://tfr.faa.gov/save_pages/detail_4_4318.html,Space Launch
17999,SFC,,tfr,559744307,1719244800,TFR 4/2565,0,6/24 16:00Z until further notice,http://tfr.faa.gov/save_pages/detail_4_2565.html,Security
18000,4100,,tfr,559744348,1730628000,TFR 4/6447,1741514340,11/3 10:00Z to 3/9 09:59Z,http://tfr.faa.gov/save_pages/detail_4_6447.html,Security
18000MSL,4100,,tfr,559744333,1730628000,TFR 4/6443,1741514340,11/3 10:00Z to 3/9 09:59Z,http://tfr.faa.gov/save_pages/detail_4_6443.html,Security
18000,2400,,tfr,559744317,1733508240,TFR 4/2883,1741507140,12/6 18:04Z to 3/9 07:59Z,http://tfr.faa.gov/save_pages/detail_4_2883.html,Security
14000,1700,,tfr,559744321,1734094800,TFR 4/2779,1734130800,12/13 13:00Z to 12/13 23:00Z,http://tfr.faa.gov/save_pages/detail_4_2779.html,Security
17999,9000,,tfr,559744338,1734267600,TFR 4/5662,1734328800,12/15 13:00Z to 12/16 06:00Z,http://tfr.faa.gov/save_pages/detail_4_5662.html,Security
18000,3500,,tfr,559744340,1733935380,TFR 4/5101,1734868800,12/11 16:43Z to 12/22 12:00Z,http://tfr.faa.gov/save_pages/detail_4_5101.html,Security
4999AGL,SFC,,tfr,559744359,1734019200,TFR 4/4394,1734202800,12/12 16:00Z to 12/14 19:00Z,http://tfr.faa.gov/save_pages/detail_4_4394.html,VIP
2500,SFC,,tfr,559744358,1734354000,TFR 4/6186,1734670740,12/16 13:00Z to 12/20 04:59Z,http://tfr.faa.gov/save_pages/detail_4_6186.html,
2500,SFC,,tfr,559744332,1734094800,TFR 4/2779,1734130800,12/13 13:00Z to 12/13 23:00Z,http://tfr.faa.gov/save_pages/detail_4_2779.html,Security
17999AGL,SFC,,tfr,559744315,1718991000,TFR 4/1789,0,6/21 17:30Z until further notice,http://tfr.faa.gov/save_pages/detail_4_1789.html,Security
5000,SFC,,tfr,559744351,1704996000,TFR 4/2903,1734732000,1/11 18:00Z to 12/20 22:00Z,http://tfr.faa.gov/save_pages/detail_4_2903.html,Flight Hazard
8500,2500,,tfr,559744337,1734094800,TFR 4/2779,1734130800,12/13 13:00Z to 12/13 23:00Z,http://tfr.faa.gov/save_pages/detail_4_2779.html,Security
3000AGL,SFC,,tfr,559744362,1414425000,TFR 4/3635,0,10/27 15:50Z until further notice,http://tfr.faa.gov/save_pages/detail_4_3635.html,Security
3000AGL,SFC,,tfr,559744341,1414422000,TFR 4/3634,0,10/27 15:00Z until further notice,http://tfr.faa.gov/save_pages/detail_4_3634.html,Security
3900,SFC,,tfr,559744328,1730908800,TFR 4/7564,1734566340,11/6 16:00Z to 12/18 23:59Z,http://tfr.faa.gov/save_pages/detail_4_7564.html,Flight Hazard
6500,SFC,,tfr,559744352,1734055200,TFR 4/6114,1735058640,12/13 02:00Z to 12/24 16:44Z,http://tfr.faa.gov/save_pages/detail_4_6114.html,Flight Hazard
2400,SFC,,tfr,559744324,1733508240,TFR 4/2883,1741507140,12/6 18:04Z to 3/9 07:59Z,http://tfr.faa.gov/save_pages/detail_4_2883.html,Security
10000,SFC,,tfr,559744305,1722874500,TFR 4/3235,1735689540,8/5 16:15Z to 12/31 23:59Z,http://tfr.faa.gov/save_pages/detail_4_3235.html,Security
500AGL,SFC,,tfr,559744309,1720310400,TFR 4/7589,1736035140,7/7 00:00Z to 1/4 23:59Z,http://tfr.faa.gov/save_pages/detail_4_7589.html,Security
12000,SFC,,tfr,559744363,1733537700,TFR 4/2988,1735689540,12/7 02:15Z to 12/31 23:59Z,http://tfr.faa.gov/save_pages/detail_4_2988.html,Flight Hazard
2000AGL,SFC,,tfr,559744354,1732572660,TFR 4/8833,1735257540,11/25 22:11Z to 12/26 23:59Z,http://tfr.faa.gov/save_pages/detail_4_8833.html,Security
2000AGL,SFC,,tfr,559744312,1734192000,TFR 4/4261,1734202800,12/14 16:00Z to 12/14 19:00Z,http://tfr.faa.gov/save_pages/detail_4_4261.html,Security
500AGL,SFC,,tfr,559744355,1730793600,TFR 4/8529,1736035140,11/5 08:00Z to 1/4 23:59Z,http://tfr.faa.gov/save_pages/detail_4_8529.html,Security
2000AGL,SFC,,tfr,559744342,1722045600,TFR 4/8675,1735689540,7/27 02:00Z to 12/31 23:59Z,http://tfr.faa.gov/save_pages/detail_4_8675.html,Security
2000AGL,SFC,,tfr,559744344,1717286400,TFR 4/1327,1735689540,6/2 00:00Z to 12/31 23:59Z,http://tfr.faa.gov/save_pages/detail_4_1327.html,Security
3000,1200,,tfr,559744345,1734094800,TFR 4/2779,1734130800,12/13 13:00Z to 12/13 23:00Z,http://tfr.faa.gov/save_pages/detail_4_2779.html,Security
1000AGL,SFC,,tfr,559744327,1733518800,TFR 4/1797,1734728400,12/6 21:00Z to 12/20 21:00Z,http://tfr.faa.gov/save_pages/detail_4_1797.html,Security
6000,SFC,,tfr,559744335,1733065200,TFR 4/9672,0,12/1 15:00Z until further notice,http://tfr.faa.gov/save_pages/detail_4_9672.html,Security
1500,SFC,,tfr,559744360,1721664000,TFR 4/5561,1735689540,7/22 16:00Z to 12/31 23:59Z,http://tfr.faa.gov/save_pages/detail_4_5561.html,Flight Hazard
1000AGL,SFC,,tfr,559744308,1717214340,TFR 4/9417,1748750340,6/1 03:59Z to 6/1 03:59Z,http://tfr.faa.gov/save_pages/detail_4_9417.html,Security
1500AGL,SFC,,tfr,559744313,1233007980,TFR 9/2934,0,1/26 22:13Z until further notice,http://tfr.faa.gov/save_pages/detail_9_2934.html,VIP
